problem,n,model,seed,MAE,RRMSE,IS,Coverage
branin_hetero,25,Separate GPs,25,11.045300759085546,0.44303092769798197,113.43114582992364,0.766
branin_hetero,25,Separate GPs,26,11.805023380744531,0.4742310210441695,135.9305342146978,0.764
branin_hetero,25,Separate GPs,27,10.538640792642052,0.41921730561033466,106.10684019657712,0.7889999999999999
branin_hetero,25,Separate GPs,28,11.022194613419856,0.43977054730471926,115.71469629658239,0.7849999999999999
branin_hetero,25,Separate GPs,29,11.63723451760961,0.46693020710469646,135.47408840894803,0.729
branin_hetero,25,Separate GPs,30,10.40228887018953,0.392382767680073,98.7596854075765,0.8139999999999998
branin_hetero,25,Categorical GP,1,4.756708067476865,0.18213769293343227,41.847957494531904,0.9339999999999999
branin_hetero,25,Categorical GP,2,4.134468912387556,0.13951747603741155,38.04396123966364,0.945
branin_hetero,25,Categorical GP,3,4.4951405495051375,0.15834362181188416,38.968645520893155,0.9440000000000002
branin_hetero,25,Categorical GP,4,4.859601674438954,0.18711024916978392,44.800690769105,0.9480000000000001
branin_hetero,25,Categorical GP,5,4.369000902177791,0.14639418890053502,36.574985282838,0.9629999999999999
branin_hetero,25,Categorical GP,6,4.6430404649605475,0.15899358925950513,37.25479901055951,0.95
branin_hetero,25,Categorical GP,7,4.532568811104385,0.15178003145743607,34.91405432800059,0.951
branin_hetero,25,Categorical GP,8,4.4241865351464025,0.16037312602276604,41.1392868618824,0.952
branin_hetero,25,Categorical GP,9,4.522894062847363,0.14645115690449168,37.04522625460392,0.944
branin_hetero,25,Categorical GP,10,4.7767038244905615,0.17191067617849992,38.82336264701065,0.9550000000000001
branin_hetero,25,Categorical GP,11,4.632313430495023,0.15977488628597594,38.65421472022425,0.9349999999999999
branin_hetero,25,Categorical GP,12,4.216275041661423,0.15279338116913896,38.187638475834,0.958
branin_hetero,25,Categorical GP,13,4.43691969026408,0.15413026961533033,38.37886531620135,0.9400000000000001
branin_hetero,25,Categorical GP,14,4.943191321998578,0.17658464544587754,41.336860822812355,0.9440000000000002
branin_hetero,25,Categorical GP,15,4.327768534839275,0.15003868756923616,37.90271224219335,0.945
branin_hetero,25,Categorical GP,16,4.413897171691573,0.1478484313677903,37.42483791429266,0.944
branin_hetero,25,Categorical GP,17,4.3701497963011064,0.15845545819130818,37.962351881344524,0.943
branin_hetero,25,Categorical GP,18,4.560513255746355,0.1539057410867778,39.537216533270666,0.943
branin_hetero,25,Categorical GP,19,4.818901814848179,0.17095082557238866,39.017661318461364,0.9460000000000001
branin_hetero,25,Categorical GP,20,4.559040650451839,0.16074957928641836,39.008640675729666,0.951
branin_hetero,25,Categorical GP,21,4.533886784572267,0.16264427384185154,36.89335927747031,0.917
branin_hetero,25,Categorical GP,22,4.322233053162974,0.15630094972809438,35.600386775276114,0.9470000000000001
branin_hetero,25,Categorical GP,23,4.422486542000495,0.15425239599030263,39.23258753851394,0.959
branin_hetero,25,Categorical GP,24,4.923089795980031,0.1607651761856718,37.764198219631254,0.923
branin_hetero,25,Categorical GP,25,4.5317199000953226,0.16275775842252377,39.251875045253755,0.9480000000000001
branin_hetero,25,Categorical GP,26,4.739199214442941,0.16230206928165886,40.30718461616787,0.9470000000000001
branin_hetero,25,Categorical GP,27,4.090969070759004,0.1454918992583531,38.811739011477144,0.958
branin_hetero,25,Categorical GP,28,4.351134838312306,0.1690959919064479,42.0641850585064,0.9490000000000001
branin_hetero,25,Categorical GP,29,4.1864698341323,0.14491091756059418,39.37930412548009,0.938
branin_hetero,25,Categorical GP,30,4.989469042049974,0.17415289941744486,40.10147489821044,0.9440000000000002
branin_hetero,25,Standard LVGP,1,3.9321634183481864,0.17632956914092562,63.10550908336222,0.371
branin_hetero,25,Standard LVGP,2,3.0624864874188638,0.14990554690973465,51.27986452069679,0.45199999999999996
branin_hetero,25,Standard LVGP,3,4.458797658320135,0.20266359329056058,72.90353828241811,0.49800000000000005
branin_hetero,25,Standard LVGP,4,3.3832856655985353,0.16809790963826,44.97489458196063,0.66
branin_hetero,25,Standard LVGP,5,4.126488176764986,0.1769158881750151,40.296811303184676,0.653
branin_hetero,25,Standard LVGP,6,4.680751095064485,0.19520338753890237,74.46012170900208,0.55
branin_hetero,25,Standard LVGP,7,5.198320734873425,0.22531571754122282,112.40092280630475,0.342
branin_hetero,25,Standard LVGP,8,5.922686816945489,0.3398092760900218,123.18157646866727,0.23200000000000004
branin_hetero,25,Standard LVGP,9,4.338966028755421,0.21590865953029142,45.35402798255869,0.608
branin_hetero,25,Standard LVGP,10,4.284376217055933,0.20179622237138467,48.8113748162833,0.567
branin_hetero,25,Standard LVGP,11,6.117358986668239,0.283250868535107,92.69908947930989,0.445
branin_hetero,25,Standard LVGP,12,2.1428528775965026,0.12071985203147748,29.385306219696343,0.572
branin_hetero,25,Standard LVGP,13,4.1285510849836635,0.18313683844997025,111.17677898263028,0.161
branin_hetero,25,Standard LVGP,14,5.005615416796765,0.23156246782316395,116.11830230916648,0.328
branin_hetero,25,Standard LVGP,15,5.594345830110957,0.25308847531752887,87.37719240031186,0.462
branin_hetero,25,Standard LVGP,16,4.021635101978318,0.24785025289743995,56.150094338258555,0.44000000000000006
branin_hetero,25,Standard LVGP,17,3.448074792105575,0.1726370440759807,48.95726630087637,0.4640000000000001
branin_hetero,25,Standard LVGP,18,4.278417601954985,0.21224366004768108,76.07775291478156,0.398
branin_hetero,25,Standard LVGP,19,4.508557585892126,0.20060359589368687,75.37988994251447,0.32700000000000007
branin_hetero,25,Standard LVGP,20,2.1457846404306395,0.11302018257925348,26.8149096517013,0.604
branin_hetero,25,Standard LVGP,21,5.689917436968079,0.2686770542658309,94.04656672979549,0.41800000000000004
branin_hetero,25,Standard LVGP,22,4.044919709462332,0.23870834266424482,41.06254183560817,0.562
branin_hetero,25,Standard LVGP,23,4.5660790210262565,0.1990295459771614,72.74799823339906,0.47700000000000004
branin_hetero,25,Standard LVGP,24,4.325885847968957,0.2073259887536823,108.03393885158246,0.49400000000000005
branin_hetero,25,Standard LVGP,25,4.5368373443526036,0.2095858554970172,81.83015231184439,0.324
branin_hetero,25,Standard LVGP,26,5.500622192740823,0.28935040479027085,106.63062630461896,0.324
branin_hetero,25,Standard LVGP,27,2.5193551958667975,0.13670167407520584,21.674281504205254,0.697
branin_hetero,25,Standard LVGP,28,5.403999369289084,0.23928671854471767,100.87857507816426,0.143
branin_hetero,25,Standard LVGP,29,5.744436988236255,0.26975302618281044,128.48723773199953,0.255
branin_hetero,25,Standard LVGP,30,5.46240084442181,0.23574281291964488,91.69585641316188,0.43200000000000005
branin_hetero,25,H-LVGP,1,2.5538538693341897,0.08350837132895263,28.909554152192477,1.0
branin_hetero,25,H-LVGP,2,2.5232702811260896,0.08801915873983329,21.4558020853208,1.0
branin_hetero,25,H-LVGP,3,1.7798563951960602,0.07100410046313924,28.54874957131608,1.0
branin_hetero,25,H-LVGP,4,5.627263470646075,0.23540869282075388,52.32590839068001,0.917
branin_hetero,25,H-LVGP,5,3.0867560119383217,0.11514759710543018,61.41336144914069,1.0
branin_hetero,25,H-LVGP,6,1.974494083768707,0.06303426977432827,33.102659152893274,1.0
branin_hetero,25,H-LVGP,7,2.496737030545217,0.0944681322361645,44.88600166577528,1.0
branin_hetero,25,H-LVGP,8,1.9609308768912999,0.06646420797069331,24.471141724282013,1.0
branin_hetero,25,H-LVGP,9,2.02878287376694,0.09782240509328885,51.451063070924384,1.0
branin_hetero,25,H-LVGP,10,3.2908827191947596,0.10871809962252006,28.970558763510052,1.0
branin_hetero,25,H-LVGP,11,3.394728033782628,0.1828150129369827,48.48105437050848,1.0
branin_hetero,25,H-LVGP,12,2.0031525167492785,0.0696041885194037,22.53734610590599,1.0
branin_hetero,25,H-LVGP,13,2.3730033609460364,0.0799293448599721,25.713349429199063,1.0
branin_hetero,25,H-LVGP,14,2.1298497071671707,0.06438361157913224,56.407431109081095,1.0
branin_hetero,25,H-LVGP,15,2.3975406211732677,0.1267438741495459,49.26330473858707,1.0
branin_hetero,25,H-LVGP,16,2.3704062925688048,0.0879307980343009,22.909533351554877,1.0
branin_hetero,25,H-LVGP,17,2.65221194490599,0.09167998983715639,23.66930413607498,1.0
branin_hetero,25,H-LVGP,18,2.3170392088364764,0.10024300260643962,25.95841922238916,1.0
branin_hetero,25,H-LVGP,19,1.9743387235938012,0.06810421699235181,27.02119818381442,1.0
branin_hetero,25,H-LVGP,20,2.15942333249087,0.05680522558569412,24.177567096175324,1.0
branin_hetero,25,H-LVGP,21,2.9977689941620214,0.14162422231932875,95.86869399826635,1.0
branin_hetero,25,H-LVGP,22,2.321702786215199,0.08386309496125574,23.963821987535248,1.0
branin_hetero,25,H-LVGP,23,1.9135230066567863,0.06298976489869496,38.743089411631416,1.0
branin_hetero,25,H-LVGP,24,2.4615236338039863,0.08239626351338647,29.771796977263698,1.0
branin_hetero,25,H-LVGP,25,2.634850496340571,0.08887069435709798,21.990446277719496,1.0
branin_hetero,25,H-LVGP,26,1.7102827535905605,0.08400756961421459,27.255205424217696,1.0
branin_hetero,25,H-LVGP,27,2.6183828702028378,0.08520121412634582,27.310877619730185,1.0
branin_hetero,25,H-LVGP,28,2.8791415099775213,0.09823702395121489,22.302406937328904,0.9640000000000001
branin_hetero,25,H-LVGP,29,2.378038027433062,0.08301554227026764,30.197337537733215,1.0
branin_hetero,25,H-LVGP,30,2.585535111888999,0.11793388260715429,99.35268837828316,1.0
branin_hetero,40,Separate GPs,1,4.2945254248487315,0.20016846330531143,41.91251333136712,0.9360000000000002
branin_hetero,40,Separate GPs,2,4.3815177648475645,0.2006241198945183,44.123734087514805,0.916
branin_hetero,40,Separate GPs,3,4.0349080058556925,0.19463518172073,42.53355187486259,0.933
branin_hetero,40,Separate GPs,4,5.316042597076071,0.26819000209431615,50.405177668808264,0.891
branin_hetero,40,Separate GPs,5,3.9254007577056327,0.18818057458457685,41.482443573086904,0.9359999999999999
branin_hetero,40,Separate GPs,6,4.537151099173208,0.21979027028563586,43.04128675975612,0.9380000000000001
branin_hetero,40,Separate GPs,7,4.341737704007047,0.21083154242744512,41.32417039791061,0.9390000000000001
branin_hetero,40,Separate GPs,8,4.5920203788492175,0.19812456511193466,41.74101563340098,0.93
branin_hetero,40,Separate GPs,9,3.8059450498498038,0.185362365298843,41.969322859824615,0.937
branin_hetero,40,Separate GPs,10,4.5377983401627064,0.20929145472436578,42.79931643282636,0.93
branin_hetero,40,Separate GPs,11,4.511656396018172,0.2014116264571489,42.49049727190451,0.9279999999999999
branin_hetero,40,Separate GPs,12,4.214516658010798,0.19731876833562442,42.70109796657207,0.933
branin_hetero,40,Separate GPs,13,4.360027206098458,0.21288535712512863,43.079578778596606,0.9380000000000001
branin_hetero,40,Separate GPs,14,4.067506915181187,0.19333466524148962,43.96310607186089,0.923
branin_hetero,40,Separate GPs,15,4.3234370531284565,0.19092239230505542,41.338743592291905,0.937
branin_hetero,40,Separate GPs,16,4.36359145188632,0.20346067568145462,42.0972988266369,0.9360000000000002
branin_hetero,40,Separate GPs,17,4.264720347857128,0.19521349691121376,41.45642643307196,0.932
branin_hetero,40,Separate GPs,18,4.259784625641112,0.19081943760035075,42.41850525540808,0.9390000000000001
branin_hetero,40,Separate GPs,19,4.281084319450658,0.21895251212140893,42.374631448933954,0.9350000000000002
branin_hetero,40,Separate GPs,20,4.58438577322645,0.21090128507704256,43.83544786949215,0.9390000000000001
branin_hetero,40,Separate GPs,21,4.818228056892847,0.21201818147596066,41.373035586836316,0.9179999999999999
branin_hetero,40,Separate GPs,22,4.299197972206488,0.19310259000222835,41.13757368123184,0.9400000000000001
branin_hetero,40,Separate GPs,23,4.922994509455099,0.22777614544694774,44.05098885756577,0.923
branin_hetero,40,Separate GPs,24,4.93511307885608,0.2142108346119303,45.35358769035072,0.9119999999999999
